ts	Sample#	A	B	dx	F
254456536.00000	216.00000	-31.09579	-19.07976	16.26798	0.81957
254456563.00000	217.00000	-30.98662	-19.00285	15.93911	0.82873
254456581.00000	218.00000	-30.89979	-18.95571	16.27102	0.82720
254456599.00000	219.00000	-30.87746	-18.95571	16.26767	0.84704
254456619.00000	220.00000	-30.83776	-18.91353	16.26676	0.84857
254456636.00000	221.00000	-30.77077	-18.86142	16.26067	0.84552
254456653.00000	222.00000	-30.74348	-18.81924	16.27711	0.85009
254456680.00000	223.00000	-30.63679	-18.76218	16.27011	0.88978
254456708.00000	224.00000	-30.61942	-18.72496	15.94520	0.91725
254456735.00000	225.00000	-30.53506	-18.68526	16.28351	0.94319
254456763.00000	226.00000	-30.47800	-18.69023	15.94307	0.94167
254456781.00000	227.00000	-30.47800	-18.66542	16.26981	0.94319
254456799.00000	228.00000	-30.46311	-18.67286	16.28016	0.93861
254456819.00000	229.00000	-30.40853	-18.62324	16.28686	0.93709
254456836.00000	230.00000	-30.37379	-18.58354	16.29082	0.94014
254456853.00000	231.00000	-30.31424	-18.56617	16.28899	0.94014
254456880.00000	232.00000	-30.19763	-18.46693	16.28686	0.96761
254456908.00000	233.00000	-30.14801	-18.45700	15.95525	0.97677
254456935.00000	234.00000	-30.04132	-18.38505	16.30239	0.94472
254456953.00000	235.00000	-29.94456	-18.34535	16.29234	0.94319
254456970.00000	236.00000	-29.82795	-18.28581	15.96043	0.91114
254456987.00000	237.00000	-29.80810	-18.25107	15.97352	0.91114
254457004.00000	238.00000	-29.71133	-18.20145	15.97656	0.92488
254457031.00000	239.00000	-29.61953	-18.14934	15.97169	0.92488
254457059.00000	240.00000	-29.53269	-18.12205	16.31122	0.92030
254457086.00000	241.00000	-29.48059	-18.06995	15.96286	0.89130
254457104.00000	242.00000	-29.39623	-18.02777	15.97108	0.88062
254457121.00000	243.00000	-29.31932	-17.96078	16.32583	0.88214
254457138.00000	244.00000	-29.29699	-17.96078	16.31700	0.90962
254457155.00000	245.00000	-29.21015	-17.92356	16.31487	0.90809
254457182.00000	246.00000	-29.13820	-17.87146	15.96682	0.92946
254457211.00000	247.00000	-29.05632	-17.82184	15.98296	0.90962
254457239.00000	248.00000	-28.94467	-17.77470	16.33253	0.88825
254457256.00000	249.00000	-28.87520	-17.71763	16.34350	0.89130
254457319.00000	250.00000	-28.65934	-17.61590	16.35141	0.87299
254457336.00000	251.00000	-28.58491	-17.56876	16.34776	0.85925
254457354.00000	252.00000	-28.50055	-17.47944	16.35050	0.86230
254457372.00000	253.00000	-28.41123	-17.43726	16.36024	0.85925
254457390.00000	254.00000	-28.31695	-17.40997	16.00641	0.85467
254457407.00000	255.00000	-28.28469	-17.36035	16.01311	0.85620
254457435.00000	256.00000	-28.26484	-17.37524	16.35141	0.85925
254457463.00000	257.00000	-28.25244	-17.39509	15.99605	0.76463
254457491.00000	258.00000	-28.24996	-17.38268	15.99940	0.76463
254457508.00000	259.00000	-28.22018	-17.32810	16.00488	0.72952
254457525.00000	260.00000	-28.16312	-17.32313	15.98722	0.72800
254457542.00000	261.00000	-28.04899	-17.25862	15.99849	0.76310
254457559.00000	262.00000	-27.91501	-17.21148	16.36298	0.76157
254457586.00000	263.00000	-27.77606	-17.07006	16.02376	0.83178
254457613.00000	264.00000	-27.48826	-16.92616	16.37821	0.88978
254457641.00000	265.00000	-27.11113	-16.75744	16.38491	0.89130
254457658.00000	266.00000	-27.00444	-16.69045	16.40501	0.88825
254457675.00000	267.00000	-26.70919	-16.53414	16.41780	0.85925
254457698.00000	268.00000	-26.37920	-16.36542	16.42937	0.79973
254457726.00000	269.00000	-26.02936	-16.19671	16.08284	0.78599
254457744.00000	270.00000	-25.80110	-16.05777	16.08558	0.75394
254457762.00000	271.00000	-25.63486	-15.94860	16.09380	0.75700
254457781.00000	272.00000	-25.42645	-15.87913	16.46164	0.74173
254457801.00000	273.00000	-25.23292	-15.78981	16.46895	0.74479
254457819.00000	274.00000	-25.02203	-15.71537	16.47322	0.74479
254457846.00000	275.00000	-24.88060	-15.58884	16.11481	0.73105
254457874.00000	276.00000	-24.78632	-15.58884	16.49118	0.71426
254457891.00000	277.00000	-24.78632	-15.55162	16.11664	0.70968
254457908.00000	278.00000	-24.75159	-15.57147	16.11664	0.69290
254457925.00000	279.00000	-24.70693	-15.52929	16.13430	0.69595
254457952.00000	280.00000	-24.70196	-15.55410	16.48601	0.66390
254457979.00000	281.00000	-24.72181	-15.51440	16.48357	0.67305
254458009.00000	282.00000	-24.72429	-15.54666	16.10659	0.55859
254458026.00000	283.00000	-24.70445	-15.51688	16.11359	0.53722
254458044.00000	284.00000	-24.69204	-15.52681	16.10324	0.39376
254458062.00000	285.00000	-24.59528	-15.49952	16.10598	0.39681
254458081.00000	286.00000	-24.42160	-15.41268	16.48083	0.42581
254458101.00000	287.00000	-24.22063	-15.29358	16.47078	0.62727
254458129.00000	288.00000	-24.04695	-15.23652	16.12090	0.67000
254458157.00000	289.00000	-24.00477	-15.20426	16.49544	0.76768
254458174.00000	290.00000	-23.97500	-15.19434	16.49514	0.71884
254458191.00000	291.00000	-23.91545	-15.18689	16.12273	0.71731
254458209.00000	292.00000	-23.83109	-15.13479	16.12364	0.64864
254458236.00000	293.00000	-23.73433	-15.09013	16.48418	0.68221
254458263.00000	294.00000	-23.53832	-15.01074	16.10202	0.72342
254458281.00000	295.00000	-23.43908	-14.94126	16.48783	0.72495
254458299.00000	296.00000	-23.42171	-14.95863	16.49544	0.78599
254458319.00000	297.00000	-23.35224	-14.92390	16.49149	0.78752
254458336.00000	298.00000	-23.27781	-14.83954	16.49758	0.78752
254458353.00000	299.00000	-23.13390	-14.81225	16.50549	0.78599
254458380.00000	300.00000	-22.71956	-14.60880	16.51037	0.78752
254458408.00000	301.00000	-22.36227	-14.46985	16.16445	0.85009
254458435.00000	302.00000	-21.87101	-14.25400	16.55696	0.88978
254458464.00000	303.00000	-21.50381	-14.10265	16.20190	0.82110
254458482.00000	304.00000	-21.26066	-14.01581	16.19977	0.82567
254458502.00000	305.00000	-20.94556	-13.90664	16.58284	0.73258
254458519.00000	306.00000	-20.60317	-13.82973	16.60141	0.72952
254458537.00000	307.00000	-20.45430	-13.71311	16.60172	0.76921
254458554.00000	308.00000	-20.12927	-13.59898	16.60141	0.76768
254458581.00000	309.00000	-19.68515	-13.42779	16.61055	0.74936
254458609.00000	310.00000	-19.25344	-13.31862	16.23753	0.69137
